[2025-03-09T16:43:03.483038-03:00] local.DEBUG: Linha 45 Antes set manual {"id":2,"domain":"jsadvogados.byteforge.com.br","name":"Matriz"} [] []
[2025-03-09T16:43:03.483913-03:00] local.DEBUG: Tenant iniciando manualmente:  [["jsadvogadosprev.byteforge.com.br"]] []
[2025-03-09T16:43:03.484174-03:00] local.DEBUG: Linha 51 Após set manual {"id":3,"domain":"jsadvogadosprev.byteforge.com.br","name":"Prev"} [] []
[2025-03-09T16:43:03.548206-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"titulo":"Primeiro Servi\u00e7o PREV2","area_juridica_id":"9e33645f-0b7a-4c4f-b8dc-29b8080ce6c8","descricao":{"ops":[{"insert":null}]},"uuid":"9e648767-7b1a-49fd-8f8e-7c91fe12b19f"}} | UserId: 9e336463-e717-400e-8661-243ef0b3b8d8 | UserIp: 127.0.0.1 | Trace ID: API|67cdef4785a81 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e648767-7b1a-49fd-8f8e-7c91fe12b19f | Método HTTP: PUT | Últimos Traces: [{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T16:45:41.379433-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e649c1c-4d08-4af3-8f2c-e12a4d1cc13a"}} | UserId: 9e336463-e717-400e-8661-243ef0b3b8d8 | UserIp: 127.0.0.1 | Trace ID: API|67cdefe55af56 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e649c1c-4d08-4af3-8f2c-e12a4d1cc13a | Método HTTP: GET | Últimos Traces: [{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"C:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T18:56:38.745415-03:00] local.ERROR: CSRF token inválido ou sessão expirada. {"session_token":"IVO90GpPl7Fe8sXV6I6VVYPvb76i7NX8SbAIGUbY","request_token":null,"url":"http://jsadvogados.byteforge.com.br/api/financeiro/lancamentos/agendamento/consulta-filtros","method":"POST"} []
[2025-03-09T19:19:40.834836-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"titulo":"Criando um servi\u00e7o PREV","area_juridica_id":"9e30b7cd-a74a-4337-bfc7-40f75db1e995","descricao":{"ops":[{"insert":null}]},"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce13fcc9b9f | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: PUT | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:46:41.745386-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1a51b3886 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:47:23.112729-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1a7b19b48 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:47:33.860980-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1a85d0ced | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:48:09.819111-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1aa9c5005 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:48:30.165253-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1abe26442 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:48:35.752103-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1ac3b5637 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:48:56.232194-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1ad8365d6 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:49:36.547020-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1b0083241 | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:49:49.269255-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1b0d407fa | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T19:56:49.994650-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce1cb1efafb | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T20:15:12.538849-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce2100812dd | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T20:23:25.348302-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"titulo":"Criando um servi\u00e7o PREV","area_juridica_id":"9e30b7cd-a74a-4337-bfc7-40f75db1e995","descricao":{"ops":[{"insert":null}]},"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce22ed536bb | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: PUT | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
[2025-03-09T20:30:12.340828-03:00] byteforge_app_log.ERROR: Mensagem: {"codigo":404,"mensagem":"O Servi\u00e7o n\u00e3o foi encontrado.","request":{"uuid":"9e5e95c9-0cb1-4b43-8832-f2478480159e"}} | UserId: e335807e-60b4-4a56-b590-9b83c433416b | UserIp: 127.0.0.1 | Trace ID: API|67ce24845026a | URL: http://jsadvogados.byteforge.com.br/api/adv/servico/9e5e95c9-0cb1-4b43-8832-f2478480159e | Método HTTP: GET | Últimos Traces: [{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Helpers\\LogHelper.php","line":38},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Traits\\ServiceLogTrait.php","line":31},{"file":"E:\\Desenvolvimento\\js-advogados\\app\\app\\Services\\Service.php","line":224}] [] []
